"Group By WeekReport for roncordell"
 
 Time Period,Count,Distance,Time,Elevation Gain,Avg Speed,Avg HR,Avg Run Cadence,Avg Bike Cadence,Calories,
 03/10/2014,2,49.87,3:46:26,"4,153",13.2,121,--,0,"4,713",
 03/03/2014,3,72.10,5:30:28,"6,047",13.1,122,--,1,"7,333",
 02/24/2014,1,21.85,1:43:08,"1,870",12.7,122,--,0,"2,178",
 02/17/2014,2,49.62,4:26:04,"4,171",11.2,125,--,0,"4,838",
 02/10/2014,1,25.98,2:00:31,"1,985",12.9,127,--,0,"2,453",
 01/27/2014,2,45.66,3:22:31,"4,566",13.5,123,--,0,"4,870",
 01/20/2014,2,49.90,3:36:28,"4,111",13.8,122,--,0,"5,275",
 01/13/2014,4,112.38,8:03:49,"9,556",13.9,123,--,28,"10,810",
 01/06/2014,2,49.83,3:49:15,"3,965",13.0,117,--,65,"5,030",
 12/30/2013,3,82.60,6:11:20,"7,792",13.3,125,--,69,"7,997",
 12/16/2013,3,68.95,5:45:40,"6,812",12.0,123,--,69,"6,636",
 12/09/2013,1,24.15,1:51:07,"2,118",13.0,120,--,69,"2,468",
 12/02/2013,3,63.64,5:33:52,"5,811",11.4,114,--,70,"6,573",
 11/25/2013,4,89.79,8:35:02,"10,589",10.5,118,--,73,"8,673",
 11/18/2013,2,60.29,4:18:12,"5,964",14.0,128,--,71,"7,326",
 11/11/2013,3,88.36,6:06:59,"7,679",14.4,124,--,69,"10,602",
 11/04/2013,1,26.20,1:56:17,"2,096",13.5,110,--,70,"3,558",
 10/28/2013,3,81.38,5:41:07,"7,695",14.3,121,--,71,"9,217",
 10/21/2013,3,72.27,5:16:30,"6,329",13.7,116,--,70,"7,978",
 10/14/2013,2,70.79,4:58:54,"6,442",14.2,121,--,71,"7,216",
 10/07/2013,2,51.87,3:46:08,"5,058",13.8,128,--,72,"5,331",
 09/30/2013,2,50.30,3:35:07,"4,023",14.0,117,--,63,"5,023",
 09/23/2013,3,87.92,6:06:58,"7,965",14.4,124,--,59,"8,886",
 09/16/2013,3,72.14,5:12:36,"5,956",13.8,120,--,62,"6,609",
 09/09/2013,3,72.08,5:14:09,"5,954",13.8,120,--,0,"6,315",
 09/02/2013,3,71.84,5:13:34,"6,063",13.7,120,--,66,"6,792",
 08/26/2013,2,46.64,3:25:39,"4,277",13.6,120,--,0,"5,033",
 08/19/2013,3,70.69,5:14:42,"6,534",13.5,122,--,0,"7,408",
 08/12/2013,4,136.78,9:32:53,"8,241",14.3,129,--,0,"15,317",
 08/05/2013,2,49.90,3:32:14,--,14.1,122,--,0,"4,584",
 07/29/2013,3,70.20,4:58:57,--,14.1,125,--,70,"6,586",
 07/22/2013,2,50.12,3:24:52,--,14.7,128,--,73,"5,238",
 07/15/2013,2,48.65,3:36:13,--,13.5,122,--,69,"5,012",
 07/08/2013,4,120.83,8:27:49,--,14.3,129,--,71,"12,797",
 07/01/2013,2,50.35,3:34:38,--,14.1,125,--,72,"5,527",
 06/24/2013,2,50.27,3:29:56,--,14.4,130,--,73,"5,285",
 06/17/2013,2,50.32,3:31:09,--,14.3,124,--,72,"4,925",
 06/10/2013,4,158.06,10:42:14,--,14.8,130,--,75,"14,695",
 06/03/2013,2,48.84,3:37:26,--,13.5,123,--,72,"5,648",
 05/27/2013,2,81.47,5:43:43,--,14.2,129,--,74,"7,768",
 05/20/2013,2,48.79,3:27:50,--,14.1,129,--,72,"4,970",
 05/13/2013,4,129.86,8:31:18,--,15.2,128,--,75,"12,278",
 05/06/2013,2,48.60,3:32:27,--,13.7,120,--,70,"4,565",
 04/29/2013,3,124.91,8:27:49,--,14.8,128,--,74,"12,136",
 04/22/2013,3,105.82,7:44:29,"2,331",13.7,127,--,72,"10,316",
 04/15/2013,3,111.92,7:30:57,"7,853",14.9,126,--,74,"10,314",
 04/08/2013,3,109.29,7:54:02,"9,079",13.8,123,--,74,"10,141",
 04/01/2013,3,103.58,7:33:28,--,13.7,121,--,72,"8,836",
 03/25/2013,3,71.10,5:11:58,--,13.7,121,--,73,"6,085",
 03/18/2013,3,54.49,5:09:52,--,10.6,114,--,72,"5,834",
 03/11/2013,2,56.41,3:48:30,--,14.8,117,--,74,"4,294",
 03/04/2013,3,83.06,6:12:32,--,13.4,120,--,69,"6,985",
 02/25/2013,3,71.86,5:18:31,--,13.5,125,--,72,"6,318",
 02/18/2013,2,47.33,3:39:49,--,12.9,123,--,69,"4,454",
 02/11/2013,1,21.97,1:45:36,--,12.5,120,--,69,"1,941",
